seed,severity,condition,mode,missing_count,missing_accuracy,macro_object_accuracy,worst_object_accuracy,missing_brier,missing_ece,cross_object_leakage_rate,outside_hallucination_rate
3,hard,clean,shuffled_object_memory_control,248,0,0,0,0.2933182229501766,0.8312566269031695,0.9852895632848837,0
3,hard,clean,oracle,248,1,1,1,0,0,0,0
3,hard,corrupt,present_only,248,0.4959677419354839,0.4962642126847472,0.48863636363636365,0.08381449053639717,0.03428594625963066,0,0
3,hard,corrupt,global_scene_memory,248,0.5,0.4986681157567234,0.4177215189873418,0.10967328272462987,0.194112665374194,0.1211448283545611,0
3,hard,corrupt,object_separated_memory,248,0.6129032258064516,0.61358249631808,0.5802469135802469,0.09042663024253939,0.1332166424193929,0.10114612004511844,0
3,hard,corrupt,object_contour_memory,248,0.6209677419354839,0.6211582538938375,0.5802469135802469,0.08437484422581931,0.12004365309355404,0.0989692711621004,0
3,hard,corrupt,shuffled_object_memory_control,248,0,0,0,0.27495028860541193,0.7395350356534378,0.985517516257067,0
3,hard,corrupt,oracle,248,1,1,1,0,0,0,0
3,extreme,clean,present_only,334,0.49101796407185627,0.49078107961204215,0.4811320754716981,0.08421861918515246,0.050391540621883224,0,0
3,extreme,clean,global_scene_memory,334,0.5479041916167665,0.5456308194040989,0.49056603773584906,0.09504267836456405,0.1610730282030072,0.09783966452411925,0
3,extreme,clean,object_separated_memory,334,0.7694610778443114,0.7709292475861731,0.7226890756302521,0.05487197614582689,0.08232532984895752,0.030910938543043,0
3,extreme,clean,object_contour_memory,334,0.7724550898203593,0.7737303680343524,0.7310924369747899,0.052451674507479056,0.04530070762101855,0.02657634345673179,0
3,extreme,clean,shuffled_object_memory_control,334,0,0,0,0.2937534863969396,0.8320108058800824,0.9854789088733923,0
3,extreme,clean,oracle,334,1,1,1,0,0,0,0
3,extreme,corrupt,present_only,334,0.49101796407185627,0.49078107961204215,0.4811320754716981,0.08421861918515246,0.050391540621883224,0,0
3,extreme,corrupt,global_scene_memory,334,0.47604790419161674,0.4731697075575947,0.39622641509433965,0.11037587031887325,0.16430287065194904,0.1946092567583383,0
3,extreme,corrupt,object_separated_memory,334,0.5988023952095808,0.5990872720907646,0.5779816513761468,0.09276305337383381,0.1667162627482713,0.09296657497849616,0
3,extreme,corrupt,object_contour_memory,334,0.6137724550898204,0.614036925138759,0.5871559633027523,0.08640295540942847,0.11626307430813926,0.08975573229637124,0
3,extreme,corrupt,shuffled_object_memory_control,334,0,0,0,0.27275814261365017,0.7267970424743292,0.9854613448417354,0
3,extreme,corrupt,oracle,334,1,1,1,0,0,0,0
4,standard,clean,present_only,151,0.48344370860927155,0.4842767295597484,0.4528301886792453,0.0835999363546165,0.03668743780798667,0,0
4,standard,clean,global_scene_memory,151,0.3841059602649007,0.3822359132332178,0.2653061224489796,0.13318847707047618,0.30782006954619157,0.09699275437213861,0
4,standard,clean,object_separated_memory,151,0.7682119205298014,0.765498652291105,0.673469387755102,0.04952615407673181,0.1059827526031635,0.03155441679383016,0
